1,8228,594,3089,934,920
4,3307,2366,1260,2648,905
6,86882,142488,109374,88405,122904
7,8228,2366,919,1256,2648
10,122926,177765,152081,157296,115617
11,900,8228,1994,1991,1347
15,142488,128360,114180,89470,94959
16,86882,7090,31878,5283,6482
17,31878,7438,128360,76293,72998
18,8228,2648,1256,965,3307
19,3307,2366,1260,2648,905
20,1260,3307,965,905,3462
21,139385,107348,93363,60756,148626
22,3307,1260,2648,2366,905
23,3037,930,965,928,2648
24,3307,965,3462,1260,905
27,8228,2648,1256,1260,3307
28,3307,965,928,930,3462
29,965,2648,928,3307,930
32,8228,1260,2648,2366,1256
33,2019,5291,965,3030,2186
34,177765,122912,187593,157296,122926
36,8949,5291,1333,2019,8861
38,1260,3307,8228,2648,1256
39,122912,177765,187593,179819,143355
40,8228,1256,920,1260,594
41,8228,594,1256,596,919
42,1260,3307,2648,8228,965
43,3307,2366,2648,1260,3462
45,157296,8961,65088,79592,73321
47,8228,900,916,3089,2565
50,8228,1256,2648,920,1260
51,3307,930,2648,928,3435
52,177765,157296,138036,166528,122912
57,2648,8228,3307,1260,2366
58,8228,1260,1256,2648,965
59,1260,3307,905,8228,2648
62,8228,1256,2648,1260,920
63,2366,1029,926,7482,954
64,8228,934,3089,2366,594
66,8228,900,920,1253,2921
68,177765,157296,168250,174055,122912
70,3089,934,916,8228,1287
73,128360,142488,158238,86882,88405
74,2366,2648,1256,1029,954
75,2366,919,1029,594,934
76,128360,142488,540,82459,4020
78,8228,1256,2648,1260,2366
79,3307,2648,2366,1260,905
80,1892,457,115713,1061,152077
82,1991,2161,916,216,1057
83,965,3307,928,1260,905
84,8228,1256,2648,1260,965
86,3030,2019,3435,908,965
88,157296,139385,107348,187593,148626
89,148626,112183,139385,106072,106918
90,8228,1256,2648,920,1260
91,128360,82459,142488,383,152077
93,8228,2648,1256,1260,3307
94,8228,1256,2366,2648,919
95,2648,3307,1260,1256,2366
96,139385,187593,107348,111781,115617
98,965,3307,928,930,3462
99,3307,1260,2648,965,2366
100,136864,114180,94959,122916,103042
101,8228,1256,2648,920,1260
102,8228,2648,1260,1256,3307
103,8228,1256,900,2648,1253
104,142488,60684,2995,85510,3755
105,965,928,2648,930,8228
108,142488,128360,86882,55276,88405
109,128360,142488,158238,86882,55276
110,3307,965,930,928,3435
111,2366,3030,2019,2018,3307
112,136864,179819,168250,122922,114180
113,965,3307,1260,905,3462
115,128360,176371,93363,44555,135143
116,122916,136864,143355,122906,136020
117,8228,1256,2648,920,1260
119,122916,136864,122906,158238,122922
121,187593,122926,176371,122912,128360
122,3307,1260,965,2648,905
123,97304,5225,115713,4720,152077
125,8228,2648,1256,1260,2366
129,2019,5291,965,3030,2186
131,965,3307,928,3435,930
132,142488,128360,89470,158238,106920
135,2648,3307,8228,1256,1260
136,176371,152077,187593,128360,164179
137,934,3089,916,594,1287
139,2366,919,934,1029,594
140,2648,8228,1256,2366,3307
141,122926,115617,187593,107348,111781
143,128360,176371,142488,135143,122926
144,136864,179819,168250,177765,122922
149,8228,2366,2648,1256,1260
151,2366,919,934,1029,3089
152,8228,2648,1256,1260,3307
153,128360,540,3203,4020,32
156,3037,2921,965,928,1333
159,3030,2019,2366,2018,952
160,3307,2648,1260,8228,1256
165,8228,2648,2366,1256,919
166,136864,122916,122922,122906,122904
167,177765,138036,112175,152081,157296
168,965,3307,1260,928,905
169,2019,3088,3462,3307,965
171,2565,900,8228,1078,3089
174,8228,2648,1260,1256,3307
177,3307,930,965,3435,2648
178,142488,128360,158238,122916,176371
179,142488,128360,158238,114180,136864
181,31878,3741,3263,1100,36
182,1260,8228,965,2648,3307
183,136864,109374,103042,7090,86882
184,115713,152077,187593,122924,104841
186,8228,1256,2648,1260,3307
187,1260,2648,3307,1256,2366
190,177765,157296,174055,138036,166528
191,8228,1260,3307,2648,2366
195,115713,176371,139385,148626,187593
198,8228,1256,1260,2648,2366
199,3307,1260,2366,905,965
200,128360,142488,176371,152077,158238
201,934,3089,1287,916,8228
202,3307,2648,1260,2366,965
204,965,8228,1260,928,2648
210,97304,115713,152077,174055,164179
211,177765,138036,4232,76251,8961
212,2366,934,1287,919,2018
213,3307,3435,2366,3462,954
215,965,3435,3307,928,930
216,8228,1260,2648,920,2366
217,965,5291,3030,928,2186
219,1256,1260,2648,920,905
220,965,3307,3462,928,1260
221,3307,3462,2648,1281,1256
222,2565,3741,540,1253,8228
